City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Cape Town,ZA,-33.9258,18.4232,62.38,78,100,7.0,overcast clouds
College,US,64.8569,-147.8028,42.58,87,75,4.61,broken clouds
Esik,KZ,43.3552,77.4525,51.22,44,100,0.22,overcast clouds
Vostok,RU,46.4856,135.8833,44.56,39,13,5.75,few clouds
Nikolskoye,RU,59.7035,30.7861,50.81,75,53,11.79,broken clouds
Rikitea,PF,-23.1203,-134.9692,71.33,72,14,23.24,few clouds
Hermanus,ZA,-34.4187,19.2345,53.8,80,100,7.43,overcast clouds
Ushuaia,AR,-54.8,-68.3,33.01,95,99,4.7,light snow
Georgetown,MY,5.4112,100.3354,82.24,84,40,0.0,scattered clouds
Sao Filipe,CV,14.8961,-24.4956,78.15,84,48,5.82,scattered clouds
Calbuco,CL,-41.768,-73.1273,43.39,73,28,14.74,scattered clouds
Ghatsila,IN,22.6,86.4833,82.29,79,11,0.72,few clouds
Nome,US,64.5011,-165.4064,40.15,87,20,13.8,light rain
Bethel,US,41.3712,-73.414,60.66,75,75,8.05,broken clouds
Vilhena,BR,-12.7406,-60.1458,66.6,97,100,3.2,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,39.11,80,80,21.3,broken clouds
Scarborough,GB,54.2797,-0.4044,47.66,88,0,5.99,clear sky
Atuona,PF,-9.8,-139.0333,76.15,80,28,18.92,light rain
Clyde,US,41.3042,-82.9752,49.55,65,13,6.82,few clouds
Chuy,UY,-33.6971,-53.4616,53.58,79,35,8.12,scattered clouds
Busselton,AU,-33.65,115.3333,60.39,58,24,8.41,few clouds
Albany,US,42.6001,-73.9662,49.41,75,9,1.01,clear sky
Tasiilaq,GL,65.6145,-37.6368,33.96,95,100,6.67,overcast clouds
Avarua,CK,-21.2078,-159.775,78.85,73,40,14.97,scattered clouds
Ati,TD,13.2154,18.3353,81.93,62,97,5.99,overcast clouds
Ponta Do Sol,PT,32.6667,-17.1,73.0,82,18,5.93,few clouds
Kutum,SD,14.2,24.6667,74.98,29,50,13.44,scattered clouds
Geraldton,AU,-28.7667,114.6,79.21,19,0,11.5,clear sky
Faanui,PF,-16.4833,-151.75,77.83,78,20,20.36,light rain
Tanete,ID,-3.9443,119.7848,88.54,61,98,8.25,overcast clouds
Powell River,CA,49.8496,-124.5361,65.34,69,1,2.3,clear sky
Lasa,IT,46.6166,10.7002,46.36,74,40,2.3,scattered clouds
Port Alfred,ZA,-33.5906,26.891,57.18,88,100,1.01,overcast clouds
Kapaa,US,22.0752,-159.319,82.38,73,75,10.36,broken clouds
Sorrento,IT,40.626,14.3744,64.65,83,100,3.04,overcast clouds
Raga,SS,8.4596,25.678,68.49,96,100,4.63,overcast clouds
Biltine,TD,14.5333,20.9167,84.31,26,74,6.62,broken clouds
Hobart,AU,-42.8794,147.3294,57.06,53,75,10.36,broken clouds
Christchurch,NZ,-43.5333,172.6333,62.47,65,0,17.27,clear sky
Bathsheba,BB,13.2167,-59.5167,83.01,78,40,18.41,scattered clouds
Hilo,US,19.7297,-155.09,82.27,100,68,1.01,heavy intensity rain
Ferme-Neuve,CA,46.7001,-75.4493,32.79,81,59,5.59,broken clouds
Pacific Grove,US,36.6177,-121.9166,61.25,90,100,4.61,overcast clouds
Port Blair,IN,11.6667,92.75,82.44,83,40,3.44,light rain
New Norfolk,AU,-42.7826,147.0587,56.71,60,93,3.0,overcast clouds
Khilok,RU,51.3674,110.4676,33.96,66,95,6.49,overcast clouds
Lata,PT,40.1629,-8.3327,61.81,70,2,2.73,clear sky
Mar Del Plata,AR,-38.0023,-57.5575,59.02,82,75,9.22,shower rain
Hervey Bay,AU,-25.2986,152.8535,72.59,73,11,10.89,few clouds
Morehead,US,37.2711,-87.1764,54.99,67,0,3.44,clear sky
Tuktoyaktuk,CA,69.4541,-133.0374,35.83,97,89,21.05,light rain
Araguaina,BR,-7.1911,-48.2072,81.91,43,25,4.81,scattered clouds
Chokwe,MZ,-24.5333,32.9833,70.79,75,97,12.46,overcast clouds
Jamestown,US,42.097,-79.2353,46.02,67,100,9.22,overcast clouds
Xai-Xai,MZ,-25.0519,33.6442,71.51,87,93,15.35,overcast clouds
Barrow,US,71.2906,-156.7887,33.82,80,100,19.57,mist
Lorengau,PG,-2.0226,147.2712,85.57,64,62,11.07,broken clouds
Nikki,BJ,9.9401,3.2108,70.38,98,100,5.91,light rain
Castro,BR,-24.7911,-50.0119,48.88,93,27,2.68,scattered clouds
Tiksi,RU,71.6872,128.8694,23.94,89,94,15.9,overcast clouds
Westport,US,41.1415,-73.3579,64.44,65,100,10.36,overcast clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,72.34,87,76,10.71,broken clouds
Cherskiy,RU,68.75,161.3,23.76,76,100,23.42,overcast clouds
